id_participante,participacao,id_evento
1,ACIJE - Associação do Coro Infanto-Juvenil de Esporões,2
2,Coro Académico da Universidade do Minho,3
3,Origem Tradicional,"4, 141"
4,Grupo de Percussão da Equipa Espiral,5
5,Anjos,6
6,Academia Sénior do Município de Braga,"8, 105"
7,Cidade Curiosa,"9, 12, 16, 19, 20, 24, 28, 31, 118, 120, 123, 127, 132, 135"
8,Grupo de Teatro Malad’arte,"10, 14, 17, 22, 29, 42"
9,Biblioteca Lúcio Craveiro da Silva,"13, 21, 27, 48, 64, 69, 76, 113, 117, 124, 133, 136, 145, 172"
10,O Zé Mágico,35
11,Coro da Santa Casa da Misericórdia de Braga,36
12,Gaivotas D’Outono,41
13,BomboneS Project,43
14,Grupo de Danças e Cantares do CCS de Santo Adrião,44
15,Grupo de Cavaquinhos da A. A. A. da Escola Industrial e Comercial de Braga,45
16,Ópera de Bolso,46
17,Nova Comédia Bracarense,47
18,Ent’artes Escola de Dança,50
19,Canto D’Aqui,"51, 162"
20,Grupo Folclórico de Sto. André de Gondizalves,53
21,Coro Allegretus do Centro Social e Cultural de Santo Adrião,"54, 139"
22,Orquestra ZABADUM,55
23,Grupo de Música Popular da Universidade do Minho,56
24,Banda Musical de Cabreiros,57
25,PAVAC,"59, 63, 70, 75, 80, 89, 109, 112, 116, 122, 131, 147"
26,Tin.Bra,"60, 65, 71, 77, 81"
27,MUSA,"61, 66, 73"
28,Zés P’reiras do Novais e Sousa,67
29,ANIMA VAM,"72, 78, 82"
30,Rusga de S. Vicente,84
31,Raquel Oliveira Martins (U.Minho),86
32,Grupo de Cavaquinhos Hora Subtil Associação,87
33,Party Brass Band,88
34,Malatitsch,"90, 95, 104, 110, 111, 114, 115, 119, 125, 128, 134, 138"
35,Grupo Folclórico de Sta. Maria de Aveleda,91
36,Escola de Ballet D. Diogo de Sousa,92
37,Associação Cultural Bombar’t,"93, 152"
38,AEB - Associação Empresarial de Braga,94
39,Clássico-Contemporânea Escola de Dança,96
40,Alisis Ensemble,97
41,Conservatório Bomfim,"98, 121"
42,Coro Comunitário De Mulheres,99
43,Camerata Atlântica e Eduarda Melo,100
44,Grupo Folclórico de Lamaçães,102
45,Street Art Masters,103
46,Orquestra Filarmónica de Braga,"108, 177"
47,Associação Projetarte,130
48,Coro Aeternus Cantabile,140
49,Grupo Folclórico Divino Salvador de Tebosa,142
50,Sr. Sabão,143
51,Carrossel Mágico,144
52,Bracara Team,146
53,Coro Polifónico de Gualtar,148
54,AGERE,"149, 159, 166"
55,Braga Dança,150
56,Feel The Steel Brass Band,153
57,EFP Danza,154
58,Gustavo Sereno; Gonçalo Gil; David Sousa,155
59,Grupo de Cantares Origens de Fradelos,156
60,Moustache Brass Band,157
61,Projeto EZ,160
62,Grupo de Reis da ACR Dume,161
63,Grupo de Cavaquinhos,163
64,Cia Barré Taldea,165
65,Grupo de Teatro Planalto,167
66,MDance,169
67,Orquestra do Distrito de Braga,170
68,Quartzo Ensemble,173
69,Luís Pereira e Rita Seara,175
70,Rancho Folclórico do Catel-Cunha,176
71,Corpo Nacional de escutas – Agrupamento da Sé,178
72,Grupo de Reis do Patronato Nossa Senhora da Torre,179
73,Orquestra Sinfonietta de Braga e Miguel Braga Simões (percussão) direção de Henrique Constância,
74,Salvador Martinha,183
75,Indignu,185
76,Escola Profissional de Música de Espinho e do Conservatório Calouste Gulbenkian de Braga,191
77,Adriana Campos e Ana Lúcia Figueiredo,192
78,TUB,"205, 255, 256, 257, 258, 259, 260"
79,Miguel Rio Branco,206
80,CTT,208
81,Invest Braga,210
82,Rancho Folclórico de Ferreiros,212
83,Associação Cultural e Festiva “Os Sinos da Sé”,213
84,Grupo Folclórico S. Martinho de Tibães,214
85,Tuna Universitária do Minho,215
86,Grupo Folclórico e Etnográfico de Palmeira,216
87,Conjunto Típico “A Voz do Povo”,217
88,Rancho Folclórico Santa Maria de Adaúfe,218
89,Grupo de Reis do Pessoal dos CTT,219
90,Conjunto de Cavaquinhos Henrique Lima Ribeiro,220
91,Rancho Folclórico TSM Sequeira,221
92,Rancho Folclórico S.João de Batista de Nogueira,222
93,Grupo Coral dos Alunos da Antiga Escola Industrial e Comercial de Braga,223
94,Grupo Folclórico Dr. Gonçalo Sampaio,224
95,Associação de Idosos do Centro Histórico de Braga,225
96,Grupo Cénico Cultural e Beneficente de Arentim,226
97,UF Santa Lucrécia de Algeriz e Navarra e Associações locais e Paroquia,"245, 246, 247"
